epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.0054,1.41805,3.597,1.7068,0.27055,0.4992,0.25567,0.13028,1.44104,5.95676,1.95315,0.000368332,0.000368332,0.000368332
2,107.477,1.41671,2.81761,1.62101,0.22722,0.44502,0.25556,0.14565,1.482,4.74246,1.93341,0.000731352,0.000731352,0.000731352
3,160.071,1.36996,2.5275,1.60391,0.15131,0.37801,0.13024,0.06021,1.64898,4.54261,2.04208,0.00108704,0.00108704,0.00108704
4,212.713,1.39135,2.33699,1.5953,0.25493,0.55292,0.29867,0.16077,1.51715,3.21503,1.86444,0.001078,0.001078,0.001078
5,266.552,1.36386,2.15537,1.58454,0.5067,0.36331,0.3619,0.2111,1.45008,2.49105,1.85083,0.001067,0.001067,0.001067
6,319.704,1.31324,2.03931,1.52704,0.15042,0.48252,0.26458,0.14025,1.56609,2.57912,1.98042,0.00105601,0.00105601,0.00105601
7,371.981,1.29373,1.95037,1.52424,0.26382,0.59046,0.39195,0.24749,1.31192,2.15881,1.78015,0.00104501,0.00104501,0.00104501
8,424.028,1.26749,1.86335,1.48358,0.27925,0.62531,0.39117,0.22771,1.33783,1.93004,1.68707,0.00103401,0.00103401,0.00103401
9,476.399,1.22468,1.77399,1.44418,0.26331,0.59744,0.41955,0.24723,1.46392,1.88879,1.81511,0.00102301,0.00102301,0.00102301
10,528.396,1.2325,1.74026,1.46991,0.25654,0.60879,0.3696,0.21399,1.37514,2.06752,1.77018,0.00101201,0.00101201,0.00101201
11,580.258,1.19991,1.70316,1.45281,0.29923,0.64641,0.42442,0.25865,1.33629,1.88043,1.6969,0.00100101,0.00100101,0.00100101
12,632.114,1.20707,1.66818,1.42932,0.37393,0.55535,0.47656,0.28944,1.3018,1.69861,1.69246,0.000990012,0.000990012,0.000990012
13,684.011,1.1657,1.62467,1.40519,0.26117,0.63976,0.38385,0.23457,1.38676,1.97569,1.73251,0.000979013,0.000979013,0.000979013
14,736.192,1.17581,1.61181,1.42722,0.3847,0.54043,0.46094,0.28,1.3601,1.705,1.72757,0.000968014,0.000968014,0.000968014
15,788.689,1.14945,1.56222,1.39755,0.42031,0.54455,0.47016,0.27809,1.42364,1.67297,1.82933,0.000957015,0.000957015,0.000957015
16,841.08,1.13005,1.51397,1.40353,0.43855,0.57219,0.46626,0.29162,1.33005,1.701,1.67345,0.000946016,0.000946016,0.000946016
17,893.448,1.13229,1.49311,1.3791,0.41848,0.61416,0.47654,0.30209,1.37288,1.55821,1.75443,0.000935018,0.000935018,0.000935018
18,945.873,1.13931,1.49806,1.39783,0.41217,0.5927,0.46068,0.28672,1.34575,1.64245,1.73621,0.000924019,0.000924019,0.000924019
19,998.587,1.12016,1.45649,1.3834,0.35259,0.59087,0.44638,0.29072,1.32092,1.75018,1.69322,0.00091302,0.00091302,0.00091302
20,1051.44,1.09801,1.43401,1.36578,0.36397,0.65261,0.48993,0.30802,1.33075,1.65794,1.6922,0.000902021,0.000902021,0.000902021
21,1104.21,1.11236,1.42873,1.36759,0.48957,0.57419,0.54917,0.35902,1.26986,1.61655,1.62515,0.000891022,0.000891022,0.000891022
22,1156.9,1.06904,1.40689,1.33149,0.45729,0.51206,0.49846,0.31014,1.28068,1.69058,1.64488,0.000880023,0.000880023,0.000880023
23,1209.6,1.10601,1.38312,1.36388,0.41885,0.47114,0.42413,0.25687,1.323,1.58805,1.70474,0.000869024,0.000869024,0.000869024
24,1262.22,1.08732,1.36078,1.36232,0.32579,0.69097,0.46478,0.2972,1.3747,1.57592,1.73425,0.000858025,0.000858025,0.000858025
25,1314.98,1.05239,1.30201,1.32151,0.41177,0.58721,0.50899,0.32207,1.31868,1.54831,1.7026,0.000847026,0.000847026,0.000847026
26,1367.67,1.0782,1.34322,1.33799,0.41912,0.6233,0.53108,0.34407,1.28759,1.47401,1.68999,0.000836027,0.000836027,0.000836027
27,1420.34,1.02848,1.29188,1.31049,0.41575,0.54905,0.486,0.29546,1.33449,1.751,1.67963,0.000825029,0.000825029,0.000825029
28,1472.97,1.01515,1.23886,1.30677,0.40226,0.56477,0.49641,0.29817,1.36888,1.68722,1.71302,0.00081403,0.00081403,0.00081403
29,1525.59,1.04307,1.29301,1.33292,0.41829,0.54707,0.47703,0.31441,1.32532,1.65445,1.70587,0.000803031,0.000803031,0.000803031
30,1578.28,1.01494,1.22702,1.30517,0.4448,0.54168,0.48034,0.31094,1.31802,1.65259,1.68914,0.000792032,0.000792032,0.000792032
31,1631.02,1.01711,1.23525,1.30171,0.46089,0.58862,0.52832,0.3343,1.31482,1.52606,1.66509,0.000781033,0.000781033,0.000781033
32,1683.75,1.02086,1.2216,1.30235,0.45884,0.63829,0.54753,0.35056,1.33227,1.46048,1.68002,0.000770034,0.000770034,0.000770034
33,1736.08,1.00472,1.18479,1.28724,0.52325,0.62528,0.54185,0.3453,1.29044,1.48231,1.65125,0.000759035,0.000759035,0.000759035
34,1788.16,0.98739,1.16375,1.28483,0.50875,0.56347,0.55749,0.35262,1.30742,1.4703,1.67433,0.000748036,0.000748036,0.000748036
35,1840.17,1.00366,1.14332,1.29248,0.50846,0.57951,0.53546,0.34384,1.268,1.53903,1.64207,0.000737037,0.000737037,0.000737037
36,1892.08,0.96572,1.15189,1.26883,0.55415,0.53995,0.516,0.33941,1.27418,1.55253,1.63983,0.000726038,0.000726038,0.000726038
37,1943.99,0.97344,1.1419,1.26542,0.54857,0.55891,0.5784,0.37096,1.29587,1.46977,1.65772,0.00071504,0.00071504,0.00071504
38,1995.88,0.964,1.09644,1.26567,0.46608,0.54021,0.49817,0.32888,1.31006,1.64614,1.67176,0.000704041,0.000704041,0.000704041
39,2047.72,0.96003,1.12999,1.25046,0.46327,0.63324,0.5029,0.3244,1.31494,1.63001,1.71324,0.000693042,0.000693042,0.000693042
40,2099.52,0.94712,1.05999,1.26763,0.4788,0.6106,0.54502,0.35787,1.31115,1.56267,1.683,0.000682043,0.000682043,0.000682043
41,2151.32,0.91328,1.04703,1.23764,0.51983,0.62942,0.55688,0.36071,1.2896,1.46114,1.71844,0.000671044,0.000671044,0.000671044
42,2203.09,0.95845,1.04359,1.25851,0.59911,0.59021,0.56703,0.3619,1.34659,1.61892,1.71356,0.000660045,0.000660045,0.000660045
43,2254.88,0.90598,1.04105,1.23011,0.58639,0.48489,0.54373,0.36055,1.34357,1.55911,1.75122,0.000649046,0.000649046,0.000649046
44,2306.65,0.91301,1.01246,1.24039,0.45573,0.60575,0.5141,0.3269,1.32509,1.63065,1.71232,0.000638047,0.000638047,0.000638047
45,2358.41,0.90227,0.99839,1.22171,0.46722,0.58613,0.54605,0.34933,1.34081,1.58876,1.73896,0.000627048,0.000627048,0.000627048
46,2410.23,0.9221,0.99573,1.23336,0.49212,0.58034,0.52314,0.33841,1.26827,1.45918,1.69,0.000616049,0.000616049,0.000616049
47,2461.99,0.88311,0.95719,1.222,0.52873,0.66616,0.57805,0.36789,1.37291,1.50311,1.7569,0.000605051,0.000605051,0.000605051
